"SECTOR","STATE","STATE_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Mobile - On-Road Diesel Light Duty Vehicles","NJ","34","Sulfur Dioxide","CAP","6.017119803","TON"
"Fuel Comb - Electric Generation - Oil","CT","09","Ammonia","CAP","5.775639943","TON"
"Fuel Comb - Residential - Other","NJ","34","Sulfur Dioxide","CAP","5.4876865","TON"
"Fires - Agricultural Field Burning","NY","36","Nitrogen Oxides","CAP","5.434","TON"
"Fuel Comb - Electric Generation - Oil","NJ","34","Ammonia","CAP","5.3432","TON"
"Fuel Comb - Electric Generation - Biomass","CT","09","Lead","CAP/HAP","5.134804","LB"
"Fuel Comb - Electric Generation - Other","NY","36","Ammonia","CAP","4.954725","TON"
"Fuel Comb - Electric Generation - Biomass","NY","36","Volatile Organic Compounds","CAP","4.86889","TON"
"Fuel Comb - Electric Generation - Other","NJ","34","Ammonia","CAP","4.8393","TON"
"Mobile - Commercial Marine Vessels","NY","36","Ammonia","CAP","4.73595992680794","TON"
"Mobile - Commercial Marine Vessels","NJ","34","Ammonia","CAP","4.7088016414754","TON"
"Fuel Comb - Electric Generation - Coal","CT","09","Lead","CAP/HAP","4.630171","LB"
"Fuel Comb - Electric Generation - Oil","NJ","34","Volatile Organic Compounds","CAP","4.5607","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","NY","36","Volatile Organic Compounds","CAP","4.5102106161","TON"
"Fuel Comb - Electric Generation - Oil","CT","09","Volatile Organic Compounds","CAP","4.50446795363","TON"
"Fuel Comb - Comm/Institutional - Other","NJ","34","Ammonia","CAP","4.490449983","TON"
"Fuel Comb - Electric Generation - Coal","CT","09","Volatile Organic Compounds","CAP","4.12309","TON"
"Fuel Comb - Comm/Institutional - Biomass","NJ","34","Ammonia","CAP","4.10370344","TON"
"Fuel Comb - Comm/Institutional - Other","NY","36","Lead","CAP/HAP","3.3726996666456","LB"
"Mobile - On-Road Diesel Light Duty Vehicles","NY","36","Nitrous Oxide","GHG","3.3254068586","TON"
"Mobile - Non-Road Equipment - Other","CT","09","Sulfur Dioxide","CAP","2.9948212519378","TON"
"Mobile - Locomotives","NJ","34","Sulfur Dioxide","CAP","2.91932227796","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","CT","09","Carbon Monoxide","CAP","2.68780096","TON"
"Mobile - Locomotives","NJ","34","Ammonia","CAP","2.59013640652","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","CT","09","Ammonia","CAP","2.444094090766","TON"
"Bulk Gasoline Terminals","NY","36","Carbon Monoxide","CAP","2.35363","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","CT","09","Nitrous Oxide","GHG","2.31485796233","TON"
"Fuel Comb - Comm/Institutional - Biomass","CT","09","Ammonia","CAP","2.25459911","TON"
"Fires - Agricultural Field Burning","NY","36","Sulfur Dioxide","CAP","2.1819","TON"
"Fuel Comb - Residential - Other","CT","09","Sulfur Dioxide","CAP","2.17489989","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","NJ","34","Nitrous Oxide","GHG","2.172939004","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","CT","09","Sulfur Dioxide","CAP","2.1307254","TON"
"Gas Stations","CT","09","Lead","CAP/HAP","2.0247375","LB"
"Fuel Comb - Comm/Institutional - Other","NY","36","Ammonia","CAP","1.9128189489","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","CT","09","Ammonia","CAP","1.8988627041","TON"
"Fuel Comb - Residential - Other","CT","09","Ammonia","CAP","1.77450002","TON"
"Fuel Comb - Electric Generation - Natural Gas","NY","36","Methane","GHG","1.48760965","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","NJ","34","Ammonia","CAP","1.4662849988","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","CT","09","Sulfur Dioxide","CAP","1.356977643553","TON"
"Fuel Comb - Comm/Institutional - Other","CT","09","Lead","CAP/HAP","1.3218365","LB"
"Fuel Comb - Residential - Other","NJ","34","Volatile Organic Compounds","CAP","1.17599996","TON"
"Fuel Comb - Residential - Other","NJ","34","Ammonia","CAP","1.17599996","TON"
"Fuel Comb - Electric Generation - Biomass","CT","09","Volatile Organic Compounds","CAP","1.155331","TON"
"Fuel Comb - Electric Generation - Natural Gas","CT","09","Lead","CAP/HAP","1.1448509211","LB"
"Fuel Comb - Industrial Boilers, ICEs - Oil","NJ","34","Methane","GHG","1.1378","TON"
"Fuel Comb - Electric Generation - Biomass","NY","36","Lead","CAP/HAP","1.1373","LB"
"Bulk Gasoline Terminals","NY","36","Nitrogen Oxides","CAP",".95766","TON"
"Fuel Comb - Comm/Institutional - Other","CT","09","Sulfur Dioxide","CAP",".9140864139","TON"
"Mobile - Commercial Marine Vessels","CT","09","Ammonia","CAP",".8529205702936","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","CT","09","Nitrous Oxide","GHG",".798051535","TON"
"Fuel Comb - Comm/Institutional - Other","CT","09","Ammonia","CAP",".75984202","TON"
"Fuel Comb - Electric Generation - Biomass","NY","36","Sulfur Dioxide","CAP",".67035","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","NY","36","Ammonia","CAP",".65916794702","TON"
"Fuel Comb - Comm/Institutional - Oil","NJ","34","Methane","GHG",".6003","TON"
"Fuel Comb - Electric Generation - Oil","NJ","34","Methane","GHG",".5869","TON"
"Fuel Comb - Electric Generation - Coal","NJ","34","Ammonia","CAP",".5797","TON"
"Fuel Comb - Comm/Institutional - Other","NJ","34","Lead","CAP/HAP",".52475606209848640236","LB"
"Fuel Comb - Comm/Institutional - Oil","NY","36","Methane","GHG",".4741534","TON"
"Fuel Comb - Electric Generation - Biomass","CT","09","Sulfur Dioxide","CAP",".46985","TON"
"Mobile - Locomotives","CT","09","Sulfur Dioxide","CAP",".458904483","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","NY","36","Ammonia","CAP",".44614058403","TON"
"Mobile - Locomotives","CT","09","Ammonia","CAP",".407153711","TON"
"Fuel Comb - Electric Generation - Oil","NY","36","Methane","GHG",".3872584","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","CT","09","Volatile Organic Compounds","CAP",".239409191","TON"
"Fuel Comb - Comm/Institutional - Oil","NJ","34","Lead","CAP/HAP",".114520487709575209266","LB"
"Bulk Gasoline Terminals","NJ","34","Carbon Dioxide","GHG",".1","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","CT","09","Lead","CAP/HAP",".09404826","LB"
"Fuel Comb - Industrial Boilers, ICEs - Other","CT","09","Ammonia","CAP",".061279127","TON"
"Bulk Gasoline Terminals","NJ","34","Carbon Monoxide","CAP",".0463","TON"
"Fuel Comb - Electric Generation - Coal","CT","09","Ammonia","CAP",".03882577","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","CT","09","Sulfur Dioxide","CAP",".0355813551","TON"
"Bulk Gasoline Terminals","NY","36","Methane","GHG",".022483","TON"
"Fuel Comb - Electric Generation - Biomass","NY","36","Ammonia","CAP",".0204305","TON"
"Fuel Comb - Comm/Institutional - Other","NY","36","Methane","GHG",".02000005","TON"
"Bulk Gasoline Terminals","NJ","34","Nitrogen Oxides","CAP",".0176","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","NY","36","Methane","GHG",".0157221","TON"
"Bulk Gasoline Terminals","NY","36","Sulfur Dioxide","CAP",".00294","TON"
"Bulk Gasoline Terminals","NJ","34","Ammonia","CAP",".0018","TON"
"Bulk Gasoline Terminals","NJ","34","Methane","GHG",".0013","TON"
"Bulk Gasoline Terminals","NJ","34","Sulfur Dioxide","CAP",".0003","TON"
"Fuel Comb - Electric Generation - Other","CT","09","Nitrogen Oxides","CAP",".0000532","TON"
"Fuel Comb - Electric Generation - Other","CT","09","Carbon Monoxide","CAP",".00000868","TON"
"Fuel Comb - Electric Generation - Other","CT","09","Volatile Organic Compounds","CAP",".0000012852","TON"
"Fuel Comb - Electric Generation - Other","CT","09","Sulfur Dioxide","CAP",".0000000001596","TON"
"Fuel Comb - Comm/Institutional - Coal","NY","36","Sulfur Dioxide","CAP","0","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","CT","09","Nitrogen Oxides","CAP","0","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","CT","09","Ammonia","CAP","0","TON"
"Bulk Gasoline Terminals","NJ","34","Lead","CAP/HAP","0","LB"
"Fuel Comb - Comm/Institutional - Coal","NJ","34","Lead","CAP/HAP","0","LB"
"Fuel Comb - Residential - Other","NY","36","Lead","CAP/HAP","0","LB"
"Fuel Comb - Comm/Institutional - Coal","CT","09","Lead","CAP/HAP","0","LB"
"Fuel Comb - Comm/Institutional - Coal","NY","36","Carbon Monoxide","CAP","0","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","CT","09","Lead","CAP/HAP","0","LB"
"Bulk Gasoline Terminals","CT","09","Sulfur Dioxide","CAP","0","TON"
"Bulk Gasoline Terminals","CT","09","Lead","CAP/HAP","0","LB"
"Fuel Comb - Industrial Boilers, ICEs - Coal","CT","09","Carbon Monoxide","CAP","0","TON"
"Fuel Comb - Comm/Institutional - Coal","NJ","34","Nitrogen Oxides","CAP","0","TON"
"Fuel Comb - Electric Generation - Coal","NY","36","Sulfur Hexafluoride","GHG","0","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","CT","09","Sulfur Dioxide","CAP","0","TON"
"Bulk Gasoline Terminals","CT","09","Carbon Monoxide","CAP","0","TON"
"Fuel Comb - Comm/Institutional - Coal","NJ","34","Volatile Organic Compounds","CAP","0","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","CT","09","Volatile Organic Compounds","CAP","0","TON"
"Industrial Processes - Mining","NJ","34","Volatile Organic Compounds","CAP","0","TON"
"Fuel Comb - Comm/Institutional - Coal","NJ","34","Ammonia","CAP","0","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","NJ","34","Volatile Organic Compounds","CAP","0","TON"
"Bulk Gasoline Terminals","CT","09","Ammonia","CAP","0","TON"
"Fuel Comb - Comm/Institutional - Coal","CT","09","Sulfur Dioxide","CAP","0","TON"
"Fuel Comb - Comm/Institutional - Coal","NY","36","Ammonia","CAP","0","TON"
"Fuel Comb - Comm/Institutional - Coal","CT","09","Carbon Monoxide","CAP","0","TON"
"Bulk Gasoline Terminals","CT","09","Nitrogen Oxides","CAP","0","TON"
"Fuel Comb - Electric Generation - Other","CT","09","Ammonia","CAP","0","TON"
"Fuel Comb - Residential - Other","NY","36","Ammonia","CAP","0","TON"
"Fuel Comb - Comm/Institutional - Coal","NJ","34","Sulfur Dioxide","CAP","0","TON"
"Fuel Comb - Comm/Institutional - Coal","CT","09","Ammonia","CAP","0","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","NJ","34","Lead","CAP/HAP","0","LB"
"Fuel Comb - Comm/Institutional - Coal","NY","36","Volatile Organic Compounds","CAP","0","TON"
"Fuel Comb - Electric Generation - Other","CT","09","Lead","CAP/HAP","0","LB"
"Bulk Gasoline Terminals","NY","36","Lead","CAP/HAP","0","LB"
"Fuel Comb - Industrial Boilers, ICEs - Coal","NJ","34","Sulfur Dioxide","CAP","0","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","NJ","34","Carbon Monoxide","CAP","0","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","NJ","34","Nitrogen Oxides","CAP","0","TON"
"Fuel Comb - Comm/Institutional - Coal","CT","09","Volatile Organic Compounds","CAP","0","TON"
"Fuel Comb - Comm/Institutional - Coal","NY","36","Lead","CAP/HAP","0","LB"
"Fuel Comb - Comm/Institutional - Coal","NJ","34","Carbon Monoxide","CAP","0","TON"
"Fuel Comb - Residential - Other","NJ","34","Lead","CAP/HAP","0","LB"
"Fuel Comb - Comm/Institutional - Coal","CT","09","Nitrogen Oxides","CAP","0","TON"
"Mobile - Non-Road Equipment - Diesel","NJ","34","Lead","CAP/HAP","0","LB"
"Fuel Comb - Industrial Boilers, ICEs - Coal","NJ","34","Ammonia","CAP","0","TON"
"Fuel Comb - Comm/Institutional - Coal","NY","36","Nitrogen Oxides","CAP","0","TON"
